year,region,crop,cultivation_type,yield_kg_10a,production_ton
2015,강원도,딸기,노지,0,0
2015,강원도,딸기,시설,1985,476
2015,강원도,수박,노지,2498,25
2015,강원도,수박,시설,4870,9156
2015,강원도,오이,노지,3817,10840
2015,강원도,오이,시설,6082,22017
2015,강원도,참외,노지,2148,21
2015,강원도,참외,시설,0,0
2015,강원도,호박,노지,2467,28025
2015,강원도,호박,시설,2487,1617
2015,경기도,딸기,노지,2177,22
2015,경기도,딸기,시설,2428,3472
2015,경기도,수박,노지,3024,665
2015,경기도,수박,시설,3970,7345
2015,경기도,오이,노지,2930,3633
2015,경기도,오이,시설,5921,41033
2015,경기도,참외,노지,2421,775
2015,경기도,참외,시설,2482,1564
2015,경기도,호박,노지,2533,18491
2015,경기도,호박,시설,4462,18651
2015,경상남도,딸기,노지,0,0
2015,경상남도,딸기,시설,2972,67762
2015,경상남도,수박,노지,3879,659
2015,경상남도,수박,시설,3635,108905
2015,경상남도,오이,노지,3190,415
2015,경상남도,오이,시설,8383,17101
2015,경상남도,참외,노지,2282,23
2015,경상남도,참외,시설,1495,1824
2015,경상남도,호박,노지,2297,5834
2015,경상남도,호박,시설,6765,46949
2015,경상북도,딸기,노지,2248,337
2015,경상북도,딸기,시설,3051,14980
2015,경상북도,수박,노지,3189,35111
2015,경상북도,수박,시설,4905,43949
2015,경상북도,오이,노지,3658,3768
2015,경상북도,오이,시설,7712,32005
2015,경상북도,참외,노지,2499,325
2015,경상북도,참외,시설,3035,140794
2015,경상북도,호박,노지,2397,34517
2015,경상북도,호박,시설,4328,18178
2015,전라남도,딸기,노지,2785,28
2015,전라남도,딸기,시설,2890,18438
2015,전라남도,수박,노지,3450,7659
2015,전라남도,수박,시설,3685,18794
2015,전라남도,오이,노지,4280,86
2015,전라남도,오이,시설,8990,14834
2015,전라남도,참외,노지,1547,139
2015,전라남도,참외,시설,2250,225
2015,전라남도,호박,노지,3790,68675
2015,전라남도,호박,시설,5830,24136
2015,전라북도,딸기,노지,0,0
2015,전라북도,딸기,시설,3853,22579
2015,전라북도,수박,노지,3426,27614
2015,전라북도,수박,시설,4037,63946
2015,전라북도,오이,노지,4955,1784
2015,전라북도,오이,시설,7656,16690
2015,전라북도,참외,노지,1547,449
2015,전라북도,참외,시설,1647,412
2015,전라북도,호박,노지,3323,10899
2015,전라북도,호박,시설,5382,17115
2015,충청남도,딸기,노지,2452,123
2015,충청남도,딸기,시설,3069,58158
2015,충청남도,수박,노지,3775,1284
2015,충청남도,수박,시설,4679,226885
2015,충청남도,오이,노지,5162,3768
2015,충청남도,오이,시설,8202,64222
2015,충청남도,참외,노지,1547,62
2015,충청남도,참외,시설,2723,218
